Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Algeria,,Algiers,2,12,2019,51.4
Africa,Algeria,,Algiers,2,13,2019,50.5
Africa,Algeria,,Algiers,2,14,2019,49.3
Africa,Algeria,,Algiers,2,15,2019,50
Africa,Algeria,,Algiers,2,16,2019,49.6
Africa,Algeria,,Algiers,2,17,2019,56.6
Africa,Algeria,,Algiers,2,18,2019,55
Africa,Algeria,,Algiers,2,19,2019,52.9
Africa,Algeria,,Algiers,2,20,2019,49.7
Africa,Algeria,,Algiers,2,21,2019,48.3
Africa,Algeria,,Algiers,2,22,2019,49.2
Africa,Algeria,,Algiers,2,23,2019,49.2
Africa,Algeria,,Algiers,2,24,2019,51.6
Africa,Algeria,,Algiers,2,25,2019,47.8
Africa,Algeria,,Algiers,2,26,2019,52.6
Africa,Algeria,,Algiers,2,27,2019,49.4
Africa,Algeria,,Algiers,2,28,2019,50
Africa,Algeria,,Algiers,3,1,2019,51.4
Africa,Algeria,,Algiers,3,2,2019,54.1
Africa,Algeria,,Algiers,3,3,2019,54.9
Africa,Algeria,,Algiers,3,4,2019,56
Africa,Algeria,,Algiers,3,5,2019,55.7
Africa,Algeria,,Algiers,3,6,2019,62.4
Africa,Algeria,,Algiers,3,7,2019,60.7
Africa,Algeria,,Algiers,3,8,2019,56.8
Africa,Algeria,,Algiers,3,9,2019,57.7
Africa,Algeria,,Algiers,3,10,2019,55.2
Africa,Algeria,,Algiers,3,11,2019,54
Africa,Algeria,,Algiers,3,12,2019,54.3
Africa,Algeria,,Algiers,3,13,2019,55.6
Africa,Algeria,,Algiers,3,14,2019,53.2
Africa,Algeria,,Algiers,3,15,2019,52.5
Africa,Algeria,,Algiers,3,16,2019,60.9
Africa,Algeria,,Algiers,3,17,2019,60.3
Africa,Algeria,,Algiers,3,18,2019,54.6
Africa,Algeria,,Algiers,3,19,2019,51.1
Africa,Algeria,,Algiers,3,20,2019,49.7
Africa,Algeria,,Algiers,3,21,2019,52.3
Africa,Algeria,,Algiers,3,22,2019,57.1
Africa,Algeria,,Algiers,3,23,2019,55.4
Africa,Algeria,,Algiers,3,24,2019,57.7
Africa,Algeria,,Algiers,3,25,2019,58.9
Africa,Algeria,,Algiers,3,26,2019,54.4
Africa,Algeria,,Algiers,3,27,2019,52.1
Africa,Algeria,,Algiers,3,28,2019,53.9
Africa,Algeria,,Algiers,3,29,2019,53.5
Africa,Algeria,,Algiers,3,30,2019,58.9
Africa,Algeria,,Algiers,3,31,2019,65.5
Africa,Algeria,,Algiers,4,1,2019,60.5
Africa,Algeria,,Algiers,4,2,2019,61
Africa,Algeria,,Algiers,4,3,2019,62
Africa,Algeria,,Algiers,4,4,2019,57
Africa,Algeria,,Algiers,4,5,2019,57.4
Africa,Algeria,,Algiers,4,6,2019,56.8
Africa,Algeria,,Algiers,4,7,2019,54.7
Africa,Algeria,,Algiers,4,8,2019,56.7
Africa,Algeria,,Algiers,4,9,2019,58.9
Africa,Algeria,,Algiers,4,10,2019,57.1
Africa,Algeria,,Algiers,4,11,2019,55.7
Africa,Algeria,,Algiers,4,12,2019,56.2
Africa,Algeria,,Algiers,4,13,2019,56.8
Africa,Algeria,,Algiers,4,14,2019,60.5
Africa,Algeria,,Algiers,4,15,2019,62
Africa,Algeria,,Algiers,4,16,2019,63.7
Africa,Algeria,,Algiers,4,17,2019,61.4
Africa,Algeria,,Algiers,4,18,2019,66.7
Africa,Algeria,,Algiers,4,19,2019,59.2
Africa,Algeria,,Algiers,4,20,2019,59.5
Africa,Algeria,,Algiers,4,21,2019,59.4
Africa,Algeria,,Algiers,4,22,2019,60.4
Africa,Algeria,,Algiers,4,23,2019,64.3
Africa,Algeria,,Algiers,4,24,2019,-99
Africa,Algeria,,Algiers,4,25,2019,63.3
Africa,Algeria,,Algiers,4,26,2019,62.5
